,title,author_name,title_link,date
19,Do Integrated Financial and Extra-Financial Narrative Disclosures in the Management Commentary Affect Firm Valuation? International Evidence,"Muhammad Jahangir Ali, Sudipta Bose, Muhammad Shahin Miah",https://pureportal.coventry.ac.uk/en/publications/do-integrated-financial-and-extra-financial-narrative-disclosures,Feb 2022
20,Do non-communicable diseases influence sustainable development in Sub-Saharan Africa? A panel autoregressive distributive lag model approach,"Judith Kabajulizi, Francis Awuku Darko",https://pureportal.coventry.ac.uk/en/publications/do-non-communicable-diseases-influence-sustainable-development-in,Mar 2022
21,Editorial: New developments in corporate governance research,Loai Alsaid,https://pureportal.coventry.ac.uk/en/publications/editorial-new-developments-in-corporate-governance-research,21 Jun 2022
22,Evolution of research in finance over the last two decades – A topographical view,"Yasser Alhenawi, M. Kabir Hassan, Rashedul Hasan",https://pureportal.coventry.ac.uk/en/publications/evolution-of-research-in-finance-over-the-last-two-decades-a-topo,Jan 2022
23,Financial contagion effects of major crises in African stock markets,"Jaliyyah Bello, Jiaqi Guo, Mohammad Khaleq Newaz",https://pureportal.coventry.ac.uk/en/publications/financial-contagion-effects-of-major-crises-in-african-stock-mark,Jul 2022
24,"FinTech, financial inclusion and income inequality: A quantile regression approach","Ayse Demir, V Pesque-Cela, Y Altunbas, V Murinde",https://pureportal.coventry.ac.uk/en/publications/fintech-financial-inclusion-and-income-inequality-a-quantile-regr,2022
25,Future of education and research: a preliminary thematic analysis ,Simon Huston,https://pureportal.coventry.ac.uk/en/publications/future-of-education-and-research-a-preliminary-thematic-analysis,2 May 2022
26,Gender Diversity and Financial Statement Fraud,"Yang Wang, Mei Yu, Simon Gao",https://pureportal.coventry.ac.uk/en/publications/gender-diversity-and-financial-statement-fraud,1 Mar 2022
27,IFRS 8 and the cost of capital in Europe,"Ahmed Saleh, Ahmed Aboud, Yasser Eliwa",https://pureportal.coventry.ac.uk/en/publications/ifrs-8-and-the-cost-of-capital-in-europe,19 Jan 2022
28,Interbank liquidity risk transmission to large emerging markets in crisis periods,"Imtiaz Sifat, Alireza Zarei, Mehdi Hosseini, Elie Bouri",https://pureportal.coventry.ac.uk/en/publications/interbank-liquidity-risk-transmission-to-large-emerging-markets-i,Jul 2022
29,Is there a trade-off between accrual-based and real earnings management activities in the presence of (fe) male auditors?,"Andrews Owusu, Alaa Zalata, Kamil Omoteso, Ahmed Elamer ",https://pureportal.coventry.ac.uk/en/publications/is-there-a-trade-off-between-accrual-based-and-real-earnings-mana,Feb 2022
30,Kuala Lumpur - from a tin mining settlement to a neoliberal stronghold of Southeast Asia,"Marek Kozlowski, Simon Huston",https://pureportal.coventry.ac.uk/en/publications/kuala-lumpur-from-a-tin-mining-settlement-to-a-neoliberal-strongh,22 Feb 2022
31,Measuring the impact of corporate governance on non-financial reporting in the top HEIs worldwide,"Mahalaxmi Adhikari Parajuli, Mehul Chhatbar, Abeer Hassan",https://pureportal.coventry.ac.uk/en/publications/measuring-the-impact-of-corporate-governance-on-non-financial-rep,12 May 2022
32,Middle Eastern Extinctions: Building a Religious Motivation for Species Protection,"Tariq Al Montaser, Jill Atkins, Ali Elfadli, Abdullah Eskandarany, Abeer Hassan, Omar Mowafi, Simon Norton, Mohamed Saeudy",https://pureportal.coventry.ac.uk/en/publications/middle-eastern-extinctions-building-a-religious-motivation-for-sp,30 May 2022
33,Non‑executive employee ownership and financial reporting quality: evidence from Europe,"Sami Adwan, Alaa Alhaj Ismail, Ranko  Jelic",https://pureportal.coventry.ac.uk/en/publications/nonexecutive-employee-ownership-and-financial-reporting-quality-e,22 Apr 2022
34,Price run-ups and insider trading laws under different regulatory environments,"Styliani (Elina) Panetsidou, Angelos Synapis, Ioannis Tsalavoutas",https://pureportal.coventry.ac.uk/en/publications/price-run-ups-and-insider-trading-laws-under-different-regulatory,15 Apr 2022
35,Smart city dynamics and multi-level management accounting: unfolding a case of sustainable enterprise resource planning,Loai Alsaid,https://pureportal.coventry.ac.uk/en/publications/smart-city-dynamics-and-multi-level-management-accounting-unfoldi,3 Jan 2022
36,Socially responsible investment (SRI) Sukuk as a financing alternative for post COVID-19 development project,"Rashedul Hasan, Sivakumar Velayutham, Abu Faisal Khan",https://pureportal.coventry.ac.uk/en/publications/socially-responsible-investment-sri-sukuk-as-a-financing-alternat,19 Apr 2022
37,Strategic Trading and Ricardian Comparative Advantage,Waseem Toraubally,https://pureportal.coventry.ac.uk/en/publications/strategic-trading-and-ricardian-comparative-advantage,Mar 2022
38,Students' feedback experiences and expectations pre- and post-university entry,"Keith Gray, Robert Riegler, Michael Walsh",https://pureportal.coventry.ac.uk/en/publications/students-feedback-experiences-and-expectations-pre-and-post-unive,29 Jan 2022
39,"Sustainability accounting and reporting: an ablative reflexive thematic analysis of climate crisis, conservative or radical reform paradigms",Simon Huston,https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-an-ablative-reflexive-the,2 Jan 2022
40,Sustainability accounting and reporting: Technical summary,Simon Huston,https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-technical-summary,30 May 2022
41,The diffusion of innovation theory and the effects of IFRS adoption by multinational corporations on capital market performance: a cross-country analysis,"Ibrahim Elmghaamez, Rexford Attah-boakye, Kweku Adams, Jacob Agyemang",https://pureportal.coventry.ac.uk/en/publications/the-diffusion-of-innovation-theory-and-the-effects-of-ifrs-adopti,1 Jan 2022
42,The nexus between environmental and financial performance: Evidence from gulf cooperative council banks,"Rashedul Hasan, Mohammad Dulal Miah, M. Kabir Hassan",https://pureportal.coventry.ac.uk/en/publications/the-nexus-between-environmental-and-financial-performance-evidenc,31 Mar 2022
43,The relative effectiveness of R&D tax credits and R&D subsidies: A comparative Meta-Regression Analysis,"Christos Dimos, Geoffrey Pugh, Mehtap Hisarciklilar, Ema Talam, Ian Jackson",https://pureportal.coventry.ac.uk/en/publications/the-relative-effectiveness-of-rampd-tax-credits-and-rampd-subsidi,Jul 2022
44,The rise and fall of institutional entrepreneurship in Islamic financial reporting standardisation projects,"Ahmad Abras, Muhammad Al Mahameed ",https://pureportal.coventry.ac.uk/en/publications/the-rise-and-fall-of-institutional-entrepreneurship-in-islamic-fi,10 Apr 2022
45,The Role of Managerial Ownership in Dividend Tunneling: Evidence from China,"Huan Bian, Jing-Ming Kuo, Hui Pan, Zhuang Zhang",https://pureportal.coventry.ac.uk/en/publications/the-role-of-managerial-ownership-in-dividend-tunneling-evidence-f,8 Jul 2022
46,Tourism And Exports: The Case of Singapore,"Nicholas Tsounis, George Agiomirgianakis, Dimitris Serenis, Antonios Adamopoulos",https://pureportal.coventry.ac.uk/en/publications/tourism-and-exports-the-case-of-singapore,18 May 2022
47,Unveiling the black swan of the finance‐growth Nexus: Assumptions and preliminary evidence of virtuous and unvirtuous cycles,"Eliana Lauretta, Sajid M. Chaudhry, Daniel Santamaria",https://pureportal.coventry.ac.uk/en/publications/unveiling-the-black-swan-of-the-financegrowth-nexus-assumptions-a,12 Apr 2022
48,Why do Sukuks (Islamic Bonds) need a different pricing model?,"Md Hamid Uddin, Sarkar Kabir, M. Kabir Hassan, Mohammed Sawkat Hossain, Jia Liu",https://pureportal.coventry.ac.uk/en/publications/why-do-sukuks-islamic-bonds-need-a-different-pricing-model,Apr 2022
49,A global analysis of Private Investments in Public Equity,"Dimitris Andriosopoulos, Styliani Panetsidou",https://pureportal.coventry.ac.uk/en/publications/a-global-analysis-of-private-investments-in-public-equity-2,Aug 2021
50,A Historical Institutionalist Perspective on the Persistence of State Controls during Financial Sector Reforms: The Insightful Case of Myanmar,"Sandar Win, Alexander Kofinas",https://pureportal.coventry.ac.uk/en/publications/a-historical-institutionalist-perspective-on-the-persistence-of-s,26 Jan 2021
51,An appraisal of Turkey's voluntary individual pension system from a perspective of pension equality,"Sertac Babat, Derya Gultekin Karakas, Mehtap Hisarciklilar",https://pureportal.coventry.ac.uk/en/publications/an-appraisal-of-turkeys-voluntary-individual-pension-system-from-,Sep 2021
52,A Novel Method for Measuring the Timing Website Reconstructions,Tariq Al Montaser,https://pureportal.coventry.ac.uk/en/publications/a-novel-method-for-measuring-the-timing-website-reconstructions,2021
53,Are bank risk disclosures informative? Evidence from debt markets,"Ahmed Elamer , Collins Ntim, Hussein Abdou, Andrews Owusu, Mohamed Elmagrhi, Awad Ibrahim",https://pureportal.coventry.ac.uk/en/publications/are-bank-risk-disclosures-informative-evidence-from-debt-markets,Jan 2021
54,"Audit Committee and Audit Quality: An Empirical Analysis Considering Industry Expertise, Legal Expertise and Gender Diversity","Salem Alhababsah, S. Yekini",https://pureportal.coventry.ac.uk/en/publications/audit-committee-and-audit-quality-an-empirical-analysis-consideri,Mar 2021
55,"Bank solvency: The role of credit and liquidity risks, regulatory capital and economic stability",Isaiah Oino,https://pureportal.coventry.ac.uk/en/publications/bank-solvency-the-role-of-credit-and-liquidity-risks-regulatory-c,22 Nov 2021
56,Can Citizen Science Increase Trust in Research ? A Case Study of Delineating Polish Metropolitan Areas,"Baptiste Bedessem, Bogna Gawronska-Nowak, Piotr Lis",https://pureportal.coventry.ac.uk/en/publications/can-citizen-science-increase-trust-in-research-a-case-study-of-de,17 May 2021
57,Can Databases Facilitate Accountability? The Case of Australian Mercury Accounting via the National Pollutant Inventory,"Hafij Ullah, James Hazelton, Peter Nelson",https://pureportal.coventry.ac.uk/en/publications/can-databases-facilitate-accountability-the-case-of-australian-me,8 Jan 2021
58,Carbon emissions and firm performance: evidence from financial and non-financial firms from selected emerging economies,"Mohammad Dulal Miah, Rashedul Hasan, Mohammed Usman",https://pureportal.coventry.ac.uk/en/publications/carbon-emissions-and-firm-performance-evidence-from-financial-and,30 Nov 2021
59,Corporate adoption of SDG reporting in a non-enabling institutional environment : Insights from Libyan oil industries,"Ali Gerged, Tariq Al Montaser",https://pureportal.coventry.ac.uk/en/publications/corporate-adoption-of-sdg-reporting-in-a-non-enabling-institution,Dec 2021
60,Corporate board for innovative managerial control: implications of corporate governance deviance perspective,"Irfan Saleem, Mujtaba Nasir Ali Khan, Rashedul Hasan, Muhammad Ashfaq",https://pureportal.coventry.ac.uk/en/publications/corporate-board-for-innovative-managerial-control-implications-of,8 Jun 2021
61,Corporate environmental accountability in Nigeria: An example of regulatory failure and regulatory capture,"Abdurafiu Noah, Pawan Adhikari, Babafemi Ogundele, Hassan Yazdifar",https://pureportal.coventry.ac.uk/en/publications/corporate-environmental-accountability-practices-in-nigeria-an-ex,26 Jan 2021
62,Corporate Fraud Risk Management: Fraud Risk Management and Modelling ,Rasha Kassem,https://pureportal.coventry.ac.uk/en/publications/corporate-fraud-risk-management-fraud-risk-management-and-modelli,Nov 2021
63,"Corporate Governance and Financial Performance of Firms Listed on Asian Pacific Stocks: Evidence from Malaysia, Thailand, and Singapore","Ibrahim Elmghaamez, Gan  Xin Yao",https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-financial-performance-of-firms-listed-on,18 Sep 2021
64,Corporate Social Responsibility: How much is enough? A Higher Dimension Perspective of the Relationship between Financial and Social Performance,"Iordanis Kalaitzoglou, Hui Pan, Jacek Niklewski",https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-how-much-is-enough-a-higher-dimen,Nov 2021
65,Corruption and bank efficiency: Expanding the ‘sand or grease the wheel hypothesis’ for the Gulf Cooperation Council,"Mohammad Kabir Hassan, Rashedul Hasan, Mohammad Dulal Miah, Muhammad Ashfaq",https://pureportal.coventry.ac.uk/en/publications/corruption-and-bank-efficiency-expanding-the-sand-or-grease-the-w,10 Aug 2021
66,Corruption and its diverse effect on credit risk: global evidence,"Rashedul Hasan, Muhammad Ashfaq",https://pureportal.coventry.ac.uk/en/publications/corruption-and-its-diverse-effect-on-credit-risk-global-evidence,21 Apr 2021
67,CSR Implication and Disclosure in Higher Education: Uncovered Points. Results from a Systematic Literature Review and Agenda for Future Research,"Mahalaxmi Adhikari Parajuli, Abeer Hassan, Benedetta Siboni",https://pureportal.coventry.ac.uk/en/publications/csr-implication-and-disclosure-in-higher-education-uncovered-poin,7 Jan 2021
68,Does shared tenure between audit committee chair and engagement partner affect audit outcomes? Evidence from the UK,"Salem Alhababsah, Alaa Alhaj Ismail",https://pureportal.coventry.ac.uk/en/publications/does-shared-tenure-between-audit-committee-chair-and-engagement-p,8 Nov 2021
69,Do Islamic Stock Indices Perform Better Than Their Conventional Counterparts?,"Abdelbari Khamlichi , Selim Baha  Yildiz, Sarkar Kabir, Hafiz  Hoque",https://pureportal.coventry.ac.uk/en/publications/do-islamic-stock-indices-perform-better-than-their-conventional-c,2021
70,Drifts in Governance: Evidence from the management of COVID-19 in China,"Junyuan Chen, Yuheng Wang, Danture Wickramasinghe",https://pureportal.coventry.ac.uk/en/publications/drifts-in-governance-evidence-from-the-management-of-covid-19-in-,2021
71,"Equity return predictability, its determinants, and profitable trading strategies","Md Lutfur Rahman, Mahbub Khan, Samuel A Vigne, Gazi Salah Uddin",https://pureportal.coventry.ac.uk/en/publications/equity-return-predictability-its-determinants-and-profitable-trad,Jan 2021
72,ESG practices and the cost of debt: Evidence from EU countries,"Yasser Eliwa, Ahmed Aboud, Ahmed Saleh",https://pureportal.coventry.ac.uk/en/publications/esg-practices-and-the-cost-of-debt-evidence-from-eu-countries,Sep 2021
73,Evaluating Drivers of Fintech Adoption in the Netherlands,"Rashedul Hasan, Muhammad Ashfaq, Lingli Shao",https://pureportal.coventry.ac.uk/en/publications/evaluating-drivers-of-fintech-adoption-in-the-netherlands,30 Aug 2021
74,Financial decisions and market performance in Chinese mergers and acquisitions,Christopher Muganhu,https://pureportal.coventry.ac.uk/en/publications/financial-decisions-and-market-performance-in-chinese-mergers-and,25 Aug 2021
75,Financial Inclusion,Nikhil Sapre,https://pureportal.coventry.ac.uk/en/publications/financial-inclusion,2021
76,"Financial inclusion, corporate social responsibility and firm performance – analysis of interactive relationship","Asit Bhattacharyya, Mahbub Khan",https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-corporate-social-responsibility-and-firm-perf,30 Nov 2021
77,Finding our place in the world with the Sustainable Development Goals,"Caroline Wilson, Jaliyyah Bello, Luda Ruddock",https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g,18 Feb 2021
78,"Fintech frontiers in quantum computing, fractals, and blockchain distributed ledger: Paradigm shifts and open innovation","Narcisa Roxana Moşteanu, Alessio Faccia",https://pureportal.coventry.ac.uk/en/publications/fintech-frontiers-in-quantum-computing-fractals-and-blockchain-di,7 Jan 2021
79,"Firms cash management, adjustment cost and its impact on firms’ speed of adjustment-A cross country analysis","Qazi Awais Amin, Tom Williamson",https://pureportal.coventry.ac.uk/en/publications/firms-cash-management-adjustment-cost-and-its-impact-on-firms-spe,Jan 2021
80,Foreign Ownership and Productivity in Chinese Newly Listed Firms: The Moderating Roles of Founder’s Human Capital and Social Ties,"Da Teng, Chengchun Li, Sailesh Tanna",https://pureportal.coventry.ac.uk/en/publications/foreign-ownership-and-productivity-in-chinese-newly-listed-firms-,26 Feb 2021
81,French Indochina War: Reflections for strategic resilience,Simon Huston,https://pureportal.coventry.ac.uk/en/publications/french-indochina-war-reflections-for-strategic-resilience,7 Aug 2021
82,Global trends in board diversity research: a bibliometric view,"Saleh F.A. Khatib, Dewi Fariha Abdullah, Ahmed Elamer, Ibrahim Suleiman Yahaya, Andrews Owusu",https://pureportal.coventry.ac.uk/en/publications/global-trends-in-board-diversity-research-a-bibliometric-view,23 Nov 2021
83,Government accounting reforms in Sub-Saharan African countries and the selective ignorance of the epistemic community: A competing logics perspective,"Kelum Nishanta jayasinghe Jayasinghe, Andy Wynne, Pawan Adhikari, Teerooven Soobaroyen, John Malagila, Abdurafiu Noah",https://pureportal.coventry.ac.uk/en/publications/government-accounting-reforms-in-sub-saharan-african-countries-an-2,Jul 2021
84,Growth Effects of Remittance: A Case of Turkey Diaspora,"Caterina De Lucia, Luigi Pio Leonardo Cavaliere, Ester Salvato, Alessio Faccia",https://pureportal.coventry.ac.uk/en/publications/growth-effects-of-remittance-a-case-of-turkey-diaspora,12 Feb 2021
85,Impact of Maoism on the urban form and structure of cities in mainland China,"Marek Kozlowski, Simon Huston",https://pureportal.coventry.ac.uk/en/publications/impact-of-maoism-on-the-urban-form-and-structure-of-cities-in-mai,7 May 2021
86,Internal corporate governance mechanisms and financial performance: evidence from the UKs top FTSE 100 listed companies,"Ibrahim Elmghaamez, Eritobi Akintoye",https://pureportal.coventry.ac.uk/en/publications/internal-corporate-governance-mechanisms-and-financial-performanc,2 Apr 2021
87,Islamic microfinance: A bibliometric review,"M. Kabir Hassan, Muneer M. Alshater, Rashedul Hasan, Abul Bashar  Bhuiyan",https://pureportal.coventry.ac.uk/en/publications/islamic-microfinance-a-bibliometric-review,Aug 2021
88,Liquidity and Short-Run Predictability: Evidence from International Stock Markets  ,"Jin Suk Park, Mohammad Khaleq Newaz",https://pureportal.coventry.ac.uk/en/publications/liquidity-and-short-run-predictability-evidence-from-internationa,Nov 2021
89,"Mandatory ESG Reporting and XBRL Taxonomies Combination: ESG Ratings and Income Statement, a Sustainable Value-Added Disclosure","Alessio Faccia, Francesco Manni, Fabian Capitanio",https://pureportal.coventry.ac.uk/en/publications/mandatory-esg-reporting-and-xbrl-taxonomies-combination-esg-ratin,9 Aug 2021
90,Military Expenditure Economic Growth Nexus in Jordan: An Application of ARDL Bound Test Analysis in the Presence of Breaks,"Ouran Dimitraki, Sandar Win",https://pureportal.coventry.ac.uk/en/publications/military-expenditure-economic-growth-nexus-in-jordan-an-applicati,3 Oct 2021
91,Modelling asymmetric price responses of industrial energy demand with a dynamic hierarchical model,Akin Sharimakin,https://pureportal.coventry.ac.uk/en/publications/modelling-asymmetric-price-responses-of-industrial-energy-demand-,Jun 2021
92,Monitoring exchange rate instability in 12 selected Islamic economies,"Mohamed Ariff, Alireza Zarei, M. Ishaq Bhatti",https://pureportal.coventry.ac.uk/en/publications/monitoring-exchange-rate-instability-in-12-selected-islamic-econo,Sep 2021
93,"Online Banking in Italy. “Widiba Bank” Case Study, PESTLE and DEA Analysis","Alessio Faccia, Luigi Pio Leonardo Cavaliere",https://pureportal.coventry.ac.uk/en/publications/online-banking-in-italy-widiba-bank-case-study-pestle-and-dea-ana,30 Mar 2021
94,Performance measurement in smart city governance: A case study of an Egyptian city council,Loai Alsaid,https://pureportal.coventry.ac.uk/en/publications/performance-measurement-in-smart-city-governance-a-case-study-of-,2021
95,Probability of Mergers and Acquisitions Deal Failure,"Sailesh Tanna, Ibrahim Yousef, Mathias Nnadi",https://pureportal.coventry.ac.uk/en/publications/probability-of-mergers-and-acquisitions-deal-failure,21 Jan 2021
96,Reasons behind the worldwide diversity in identity and issuance of good governance codes,Ibrahim Elmghaamez,https://pureportal.coventry.ac.uk/en/publications/reasons-behind-the-worldwide-diversity-in-identity-and-issuance-o,Jun 2021
97,Regulatory capital: Implications on credit creation and profitability,Isaiah Oino,https://pureportal.coventry.ac.uk/en/publications/regulatory-capital-implications-on-credit-creation-and-profitabil,2021
98,Revisiting the Expected Utility Theory and the Consumption CAPM,Nikhil Sapre,https://pureportal.coventry.ac.uk/en/publications/revisiting-the-expected-utility-theory-and-the-consumption-capm,2021
99,Role of Public Auditors in Fraud Detection: A Critical Review,"Rasha Kassem, Umut Turksen",https://pureportal.coventry.ac.uk/en/publications/role-of-public-auditors-in-fraud-detection-a-critical-review,18 Jan 2021
100,Sovereign wealth funds and corporate social responsibility: a comparison of Norway’s Government Pension Fund Global and Abu Dhabi Fund for Development,"Sivakumar Velayutham, Rashedul Hasan",https://pureportal.coventry.ac.uk/en/publications/sovereign-wealth-funds-and-corporate-social-responsibility-a-comp,28 Jul 2021
101,Stakeholder power and organisational trust repair: The case of the BBC,"Abdurafiu Noah, Charles Ambilichu, Bassam Kazmouz",https://pureportal.coventry.ac.uk/en/publications/stakeholder-power-and-organisational-trust-repair-the-case-of-the,27 May 2021
102,Statystyczna analiza skutków sub- i dezurbanizacji w Polsce – „efekt przynależności”,"Bogna Gawronska-Nowak, Piotr Lis, Olha Zadorozhna",https://pureportal.coventry.ac.uk/en/publications/statistical-analysis-of-the-effects-of-sub-urbanisation-and-de-ur,2021
103,Studium delimitacji miejskich obszarów funkcjonalnych zapomocą metod statystycznych,"Bogna Gawronska-Nowak, Piotr Lis, Olha Zadorozhna",https://pureportal.coventry.ac.uk/en/publications/application-of-regression-analysis-to-delineate-polish-urban-and-,2021
104,Sukuk and Bond Puzzle: An Analysis with Characteristics Matched Portfolios,"Mohammed Hossain, Md Hamid Uddin, Sarkar Kabir",https://pureportal.coventry.ac.uk/en/publications/sukuk-and-bond-puzzle-an-analysis-with-characteristics-matched-po,2021
105,Testing Dividend Life-Cycle Theory in the Islamic and Conventional Banking Sectors of GCC Countries,"Ibrahim Yousef, Sailesh Tanna, Sudip Patra",https://pureportal.coventry.ac.uk/en/publications/testing-dividend-life-cycle-theory-in-the-islamic-and-conventiona,4 Mar 2021
106,The effect of institutions on the FDI-growth nexus: What matter most?,"Chengchun Li, Sailesh Tanna, Baseerit Nissah",https://pureportal.coventry.ac.uk/en/publications/the-effect-of-institutions-on-the-fdi-growth-nexus-what-matter-mo,28 Sep 2021
107,The Impact of Religiosity on Earnings Quality: International Evidence from the Banking Sector,"Omneya Abdel‐Salam, Antonios Chantziaras, Masud Ibrahim, Kamil Omoteso",https://pureportal.coventry.ac.uk/en/publications/the-impact-of-religiosity-on-earnings-quality-international-evide,Nov 2021
108,The influence of institutional pressures on the implementation of a performance measurement system in an Egyptian social enterprise,"Loai Alsaid, Charles Ambilichu",https://pureportal.coventry.ac.uk/en/publications/the-influence-of-institutional-pressures-on-the-implementation-of,22 Jan 2021
109,The predictive strength of MBS yield spreads during asset bubbles,"Solomon Deku, Alper Kara, Artur Semeyutin",https://pureportal.coventry.ac.uk/en/publications/the-predictive-strength-of-mbs-yield-spreads-during-asset-bubbles,Jan 2021
110,The relationship between corporate governance and firm financial performance: An empirical investigation of an emerging market,"Qazi Awais Amin, Stuart Farquhar",https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-corporate-governance-and-firm-financial-,2021
111,The role of culture on the adoption of International Standards on Auditing in the developing countries: An institutional perspective,"Ahmed Eltweri, Alessio Faccia, Luigi Pio Leonardo Cavaliere",https://pureportal.coventry.ac.uk/en/publications/the-role-of-culture-on-the-adoption-of-international-standards-on,15 Jan 2021
112,Towards Understanding How the HR Function Relates to the Accounting Function,Simon Horsman,https://pureportal.coventry.ac.uk/en/publications/towards-understanding-how-the-hr-function-relates-to-the-accounti,13 Jan 2021
113,Trade Wins or Trade Wars: The Perceptions and Knowledge in the Free Trade Debate,"Bogna Gawronska-Nowak, Piotr Lis, Joanna Konieczna-Sałamatin",https://pureportal.coventry.ac.uk/en/publications/trade-wins-or-trade-wars-the-perceptions-and-knowledge-in-the-fre,Jul 2021
114,Türkiye İnşaat Sanayii Çalışma Standartlarının Sektörel Gelişim Üzerinden Değerlendirilmesi,"Derya Gültekin-Karakaş, Ferimah Yusufi, Mehtap Hisarciklilar",https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-labor-standards-in-the-turkish-construction-indu,14 Mar 2021
115,Understanding Public Sentiment in Relation to the African Continental Free Trade Agreement,"Olubunmi Ajala, Amanze Ejiogu, Adeniyi Lawal",https://pureportal.coventry.ac.uk/en/publications/understanding-public-sentiment-in-relation-to-the-african-contine,1 Jul 2021
